"Answer__c","ArticleNumber","ArticleMasterLanguage","Content_Category__c","Description__c","FirstPublishedDate","Language","LargeLanguageModel","LastPublishedDate","PublishStatus","RecordTypeId","Summary","Title","ValidationStatus","Owner.RecordTypeId","Owner.Title"
"<div class=""table-responsive"" style=""box-sizing: border-box;overflow-x: auto;""> </div>
<p> </p>","000001364","en_US","Reuters Connect","<h5 style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.3em;font-family: knowledge, Arial, sans-serif;text-rendering: optimizelegibility;font-size: 16px;line-height: 1.05;color: #222222;text-transform: uppercase;white-space: normal;background-color: #ffffff;"">Reuters Restrictions are structured in two parts:</h5>
<ul style=""box-sizing: border-box;padding-left: 20px;color: #444444;font-family: knowledge, Arial, sans-serif;font-size: 18px;font-weight: 300;white-space: normal;background-color: #ffffff;""><li style=""box-sizing: border-box;""><span class=""red"" style=""box-sizing: border-box;color: #dc0a0a;"">Before the colon</span> where we signal the <span class=""red"" style=""box-sizing: border-box;color: #dc0a0a;"">media use type.</span></li><li style=""box-sizing: border-box;""><span class=""red"" style=""box-sizing: border-box;color: #dc0a0a;"">After the colon</span> where we signal any <span class=""red"" style=""box-sizing: border-box;color: #dc0a0a;"">relevant restrictions.</span></li></ul>
<h5 style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.3em;font-family: knowledge, Arial, sans-serif;text-rendering: optimizelegibility;font-size: 16px;line-height: 1.05;color: #222222;text-transform: uppercase;white-space: normal;background-color: #ffffff;"">Before the colon:</h5>
<ul style=""box-sizing: border-box;padding-left: 20px;color: #444444;font-family: knowledge, Arial, sans-serif;font-size: 18px;font-weight: 300;white-space: normal;background-color: #ffffff;""><li style=""box-sizing: border-box;"">Wording signals that <span class=""red"" style=""box-sizing: border-box;color: #dc0a0a;"">restrictions are relevant to the use type</span> vs customer type (e.g Broadcast not Broadcaster).</li><li style=""box-sizing: border-box;"">There is a <span class=""red"" style=""box-sizing: border-box;color: #dc0a0a;"">2 way distinction of use type - Broadcast Use and Digital Use.</span><br style=""box-sizing: border-box;"">For clarity we will always display both use type restrictions, even in cases where there are no restrictions (see table below).</li><li style=""box-sizing: border-box;"">
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;"">Definition of use types:</p>
<ul style=""box-sizing: border-box;padding-left: 20px;""><li style=""box-sizing: border-box;"">
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;"">Broadcast: Usage term restrictions with respect to use of content in news programming destined for broadcast television. Use by broadcasters on digital media properties, including re-casting or simulcasting, is permitted, provided that no other restrictions apply.</p>
</li><li style=""box-sizing: border-box;"">
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;"">Digital: Usage term restrictions with respect to use of content on digital media properties.</p>
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;""> </p>
</li></ul>
</li><li style=""box-sizing: border-box;"">Print use cases should assume that any restrictions communicated for either Broadcast or Digital will always apply.</li></ul>
<h5 style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.3em;font-family: knowledge, Arial, sans-serif;text-rendering: optimizelegibility;font-size: 16px;line-height: 1.05;color: #222222;text-transform: uppercase;white-space: normal;background-color: #ffffff;"">After the colon:</h5>
<ul style=""box-sizing: border-box;padding-left: 20px;color: #444444;font-family: knowledge, Arial, sans-serif;font-size: 18px;font-weight: 300;white-space: normal;background-color: #ffffff;""><li style=""box-sizing: border-box;"">
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;"">We will always use simple terms to communicate restrictions, using <span class=""red"" style=""box-sizing: border-box;color: #dc0a0a;"">No Use</span> in the vast majority of cases. To illustrate:</p>
<ul style=""box-sizing: border-box;padding-left: 20px;""><li style=""box-sizing: border-box;"">
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;"">No Use XX – where XX refers to the market (or entity) in which the content is intended for use.</p>
</li></ul>
</li><li style=""box-sizing: border-box;"">
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;"">For the cases where multiple entities, companies or countries, need to be added we will repeat the term No Use before every entity and use a full stop to separate out each notice. For example:</p>
<ul style=""box-sizing: border-box;padding-left: 20px;""><li style=""box-sizing: border-box;"">
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;"">Broadcast: No Use China. No Use CNN. No Use NBC. No Use BBC.</p>
</li><li style=""box-sizing: border-box;"">
<p style=""box-sizing: border-box;margin-top: 0px;margin-bottom: 0.9em;"">Digital: No Use China. No Use CNN. No Use NBC. No Use BBC.</p>
</li></ul>
</li><li style=""box-sizing: border-box;"">We will always aim to use “No New Uses After [date]” in all cases where an item should not be used after a certain date. In due course this will replace the more generic terms “No Resales” and “No Archive”; for now these will remain and should be adhered when used.</li></ul>","2026-01-14T23:17:20.000Z","en_US","","2026-01-14T23:17:20.000Z","Online","0124v000000AZIZAA4","","Editorial | Restriction Guide","Not Validated","","Helpdesk Analyst"
"<h3><span style=""font-family: arial, helvetica, sans-serif;font-size: 18px;color: #3498db;""><strong>What’s an Opt-Out request?</strong></span></h3>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">An Opt-Out request <strong>is a formal instruction from a customer or individual asking to stop receiving marketing communications </strong>or certain types of outreach from Reuters. This request ensures compliance with privacy regulations and respects the individual’s communication preferences.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">For Reuters, an Opt-Out request typically:</span></p>
<ul><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><strong>Disables marketing emails and newsletters</strong> in systems like <b>Sailthru </b>and <strong>Eloqua for Marketing</strong>.</span></li><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Is submitted through the <strong>OneTrust Privacy Portal</strong>, where customers can manage their preferences without contacting marketing teams directly.</span></li><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">May include opting out of all communications or specific categories (e.g., market research or promotional emails).</span></li><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Once processed, the individual’s profile is updated to prevent future marketing outreach.</span></li></ul>
<h3><span style=""font-family: arial, helvetica, sans-serif;font-size: 18px;color: #3498db;""><strong>What happens if I receive an email2case in Salesforce requesting an Opt-Out?</strong></span></h3>
<ul><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Some customers may use our support email address to request assistance. Please complete the request as a courtesy; you&#39;re not required to fill out the form in this case.</li><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">And email can also be sent by the Internal Staff. If that happens, </span><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">ensure to complete the request and then educate them to fill out the <a href=""https://privacyportal.onetrust.com/webform/dbf5ae8a-0a6a-4f4b-b527-7f94d0de6bbc/23dce484-737f-4d47-a389-2e990f683e8c"" target=""_self"">OneTrust Form</a></span>
<ul><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Use the email template in Salesforce named &quot;<em>Opt-Out Request.&quot; </em></span><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This template will have a note for the staff educating them about the use of the Privacy Form.</span><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""></span></li></ul>
</li></ul>","000001043","en_US","Reuters.com","<p><span style=""font-family: Arial,Helvetica,sans-serif;""><span style=""font-size: 16px;""><span style=""line-height: 107%;""><span style=""background: white;""><span style=""color: #181818;"">This document provides instructions on opting out of email addresses from mass mail newsletters and marketing emails for customers at Reuters.com.</span></span></span></span></span></p>","2021-02-10T04:40:11.000Z","en_US","","2026-01-08T18:21:45.000Z","Online","0124v000000AZIUAA4","","Reuters.com - Opt-out from newsletters and marketing emails","Not Validated","","Support Operations Manager"
"<p><span style=""color: #2980b9;""><strong><span style=""font-size: 18px;"">What should I do if I receive a partnership request?</span></strong></span><br><span style=""font-size: 16px;"">Please forward all partnership requests to Product Owner Mohini Chaudhary (mohini.chaudhary@thomsonreuters.com) and cc James Vincent (j.vincent@thomsonreuters.com).</span></p>
<p><span style=""font-size: 16px;""><strong><span style=""color: #c0392b;"">Important: </span></strong>Do not share these contacts with the requester. Support must report partnership requests directly to the Product Owner.</span></p>","000001322","en_US","Reuters.com","<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This knowledge base article defines the escalation matrix for the Insurer, outlining the hierarchy and procedures for escalating issues. It provides clear guidelines on when and how to escalate inquiries, ensuring timely resolution and effective communication across support levels.</span></p>","2025-03-06T00:40:39.000Z","en_US","","2026-01-08T17:50:03.000Z","Online","0124v000000AZIUAA4","","The Insurer - Support and Escalation","Not Validated","","Support Operations Manager"
"<div style=""font-family: &#39;Segoe UI&#39;;font-size: 14px;line-height: 20px;"">
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><strong>When should I add a complimentary subscription to a customer&#39;s account?</strong></span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">A complimentary subscription should be granted when:</span></p>
<ul><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">The customer provides proof of an active Reuters.com subscription.</span></li><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">The customer is experiencing issues accessing the portal with that subscription.</span></li><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">The case has been escalated to the Rapid Response or G3ConsumerDev teams and is currently under investigation.</span></li></ul>
</div>","000001362","en_US","Reuters.com","<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This article provides step-by-step instructions for adding complimentary subscriptions to customer accounts, specifically customers who have a subscription and are having issues with it.</span></p>","2025-12-15T21:13:34.000Z","en_US","","2025-12-17T14:27:03.000Z","Online","0124v000000AZIUAA4","","Reuters.com - Temporal Entitlement for Subscriber Customers","Not Validated","","Support Operations Manager"
"<p style=""line-height: 1.5;""><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">The LSEG Commodity team is authorized to contact Reuters journalists directly for commodity pricing requests. An established internal process between the LSEG and Reuters Commodity teams is already in place to handle these requests.</span></p>","000001346","en_US","Other","<p style=""line-height: 1.5;""><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">This article provides guidance for handling LSEG cases related to commodity pricing requests, including non-update of commodities and price confirmations. These requests should be routed directly to the Reuters Commodity team rather than handled by the support team.</span></p>","2025-06-25T20:59:35.000Z","en_US","","2025-12-17T13:39:42.000Z","Draft","0124v000000AZIZAA4","","LSEG - Commodity Pricing","Not Validated","","Helpdesk Analyst"
"<p style=""line-height: 1.5;""><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">The LSEG Commodity team is authorized to contact Reuters journalists directly for commodity pricing requests. An established internal process between the LSEG and Reuters Commodity teams is already in place to handle these requests.</span></p>","000001346","en_US","Other","<p style=""line-height: 1.5;""><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">This article provides guidance for handling LSEG cases related to commodity pricing requests, including non-update of commodities and price confirmations. These requests should be routed directly to the Reuters Commodity team rather than handled by the support team.</span></p>","2025-06-25T20:59:35.000Z","en_US","","2025-12-17T13:39:42.000Z","Online","0124v000000AZIZAA4","","LSEG | Process Update | Commodity Pricing","Not Validated","","Helpdesk Analyst"
"<p><span style=""color: #2980b9;""><strong><span style=""font-size: 18px;"">What should I do if I receive a partnership request?</span></strong></span><br><span style=""font-size: 16px;"">Please forward all partnership requests to Product Owner Mohini Chaudhary (mohini.chaudhary@thomsonreuters.com) and cc James Vincent (j.vincent@thomsonreuters.com).</span></p>
<p><span style=""font-size: 16px;""><strong><span style=""color: #c0392b;"">Important: </span></strong>Do not share these contacts with the requester. Support must report partnership requests directly to the Product Owner.</span></p>","000001357","en_US","Reuters.com","<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This knowledge base article defines the escalation matrix for BreakingViews, outlining the hierarchy and procedures for escalating issues. It provides clear guidelines on when and how to escalate inquiries, ensuring timely resolution and effective communication across support levels.</span></p>","2025-10-23T17:08:18.000Z","en_US","","2025-12-09T16:21:46.000Z","Online","0124v000000AZIUAA4","","BreakingViews - Support and Escalation","Not Validated","","Support Operations Manager"
"","000001312","en_US","Content Downloader (RCD);Push;Reuters Connect;Reuters Direct WordPress Plugin;Reuters Live Service;Reuters Lives;Reuters Pictures;RSS;WebServices API;World News Express - WNE","<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This document serves as a guide for handling cases where clients need assistance with billing inquiries. <strong>It focuses on requests from Agency clients</strong> that are non-technical in nature. The article outlines the escalation path and procedures for ensuring a seamless referral process to the Billing Team.</span></p>","2024-12-04T14:56:23.000Z","en_US","","2025-12-05T13:33:16.000Z","Online","0124v000000AZIeAAO","","Billing - Agency Billing Escalations","Not Validated","","Support Operations Manager"
"<p><span style=""color: #2980b9;font-family: arial, helvetica, sans-serif;font-size: 18px;""><strong>What should I do if a DSAR deletion task fails due to active cases linked to the contact in Salesforce?</strong></span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">If you receive a message indicating that a contact cannot be deleted because they are linked to active cases in Salesforce, this means their contact record is still associated with one or more support cases.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><strong>Action Required: </strong>You <strong>must </strong>manually remove the contact from all associated cases before proceeding with the deletion. Once the contact has been unlinked from the cases, the deletion can be completed successfully.</span></p>
<p><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">⚠️ <span style=""color: #c0392b;""><strong>IMPORTANT</strong></span></span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Agents must not send DSAR tasks back or leave them incomplete due to this issue. To remain compliant with the DSAR process, all DSAR tasks must be completed, including manually removing the contact from related cases where necessary.</span></p>
<p> </p>
<p><span style=""line-height: 107%;font-size: 16px;font-family: arial, helvetica, sans-serif;""><span style=""color: #080707;""><span style=""color: #2980b9;font-size: 18px;""><strong>What is a DSAR?</strong></span></span></span></p>
<p><span style=""line-height: 107%;font-size: 16px;font-family: arial, helvetica, sans-serif;""><span style=""color: #080707;"">Data Subject Access Request (DSAR) is a request addressed to an organization that gives individuals the right to access information about personal data that might be stored in that organization&#39;s records.<br><br>Each DSAR will be focused on different request types; we process 2 types:<br>- <u>Data Access Request: </u>This is when a person wants to know what PI (Personal Information) we have on our records about them. The request requires us to search and gather any information and then send it to the Privacy Team over OneTrust so they can address the customer.<br>- <u>Delete Request: </u>This request is to delete any PI (Personal Information) we have for an individual. Our responsibility, in this case, is to find the information, delete it and finally advise the Privacy Team on what information was found and deleted for the customer.</span></span></p>
<p> </p>
<p><span style=""line-height: 107%;font-size: 16px;font-family: arial, helvetica, sans-serif;""><span style=""color: #080707;""><span style=""color: #2980b9;font-size: 18px;""><strong>What to do when the DSAR Request is received by email or on a Salesforce case?</strong></span></span></span></p>
<p><span style=""line-height: 107%;font-size: 16px;font-family: arial, helvetica, sans-serif;""><span style=""color: #080707;"">We do not process DSAR requests from the Opt-Out distribution list or on a Salesforce Case. This is because all cases must be documented under the Privacy Team side on the OneTrust Portal.<br><br>If you receive a request over email or Salesforce, you are to send an email to the customer redirecting them to fill out the form under the Thomson Reuters Personal Information Request Portal: https://privacyportal.onetrust.com/webform/dbf5ae8a-0a6a-4f4b-b527-7f94d0de6bbc/5dc91c0f-f1b7-4b6e-9d42-76043adaf72d</span></span></p>","000001102","en_US","Other","<span style=""font-size: 11pt;""><span style=""line-height: 107%;""><span style=""font-family: Calibri,sans-serif;""><span style=""font-family: &quot;Arial&quot;,sans-serif;""><span style=""color: #080707;"">This is the step-by-step guide for DSAR. For further and more in-depth information please go to SharePoint: </span></span><span style=""font-family: &quot;Arial&quot;,sans-serif;""><a href=""https://trten.sharepoint.com/:f:/r/sites/reutersMTS/Shared%20Documents/Training/DSAR?csf=1&amp;web=1&amp;e=Bkcz7s"" style=""color: blue;text-decoration: underline;"" target=""_blank"">DSAR</a></span></span></span></span>","2022-03-24T22:50:04.000Z","en_US","","2025-12-05T12:22:53.000Z","Online","0124v000000AZIUAA4","","DSAR - DSAR Process for Frontline","Not Validated","","Helpdesk Analyst"
"<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">A new process was implemented last mid-October 2025. Admin users can add users, but to activate the new users, they will need to sign in to the admin portal (<a href=""https://adminportal.reuters.com/login)"" target=""_blank"">https://adminportal.reuters.com/login)</a> using the organization credentials and assign a license.</span></p>","000001361","en_US","Reuters.com","<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This document is a walkthrough on how will an admin customer will be able to add an account in Reuters Legal News </span></p>","2025-12-02T17:54:35.000Z","en_US","","2025-12-02T17:54:35.000Z","Online","0124v000000AZIUAA4","","Reuters Legal News - Adding account/Assign license","Not Validated","","Helpdesk Analyst"
